disease,description
Fungal infection,Fungal infection is a skin condition caused by fungi affecting moist areas.
Migraine,Migraine is a neurological condition causing severe recurring headaches.
Diabetes,Diabetes is a chronic condition affecting blood sugar regulation.
Hypertension,Hypertension is high blood pressure that increases heart disease risk.
Gastritis,Gastritis is inflammation of the stomach lining.
Common Cold,Common cold is a viral infection of the nose and throat.
Pneumonia,Pneumonia is an infection that inflames air sacs in the lungs.
Asthma,Asthma is a condition where airways narrow causing breathing difficulty.
Heart Attack,Heart attack occurs when blood flow to the heart is blocked.
Tuberculosis,Tuberculosis is a bacterial infection mainly affecting lungs.
