disease,precaution_1,precaution_2,precaution_3,precaution_4
Fungal infection,Keep affected area clean and dry,Use antifungal cream,Avoid tight clothing,Consult a dermatologist
Migraine,Avoid bright lights,Get enough sleep,Drink plenty of water,Avoid stress
Diabetes,Monitor blood sugar regularly,Exercise daily,Follow a healthy diet,Avoid sugary foods
Hypertension,Reduce salt intake,Exercise regularly,Manage stress,Monitor blood pressure
Gastritis,Avoid spicy food,Eat small frequent meals,Drink warm water,Avoid alcohol
Common Cold,Take adequate rest,Drink warm fluids,Use steam inhalation,Avoid cold exposure
Pneumonia,Get complete bed rest,Drink plenty of fluids,Take prescribed medicines,Consult a doctor immediately
Asthma,Avoid allergens,Carry inhaler,Do breathing exercises,Consult pulmonologist
Heart Attack,Seek emergency medical help immediately,Chew aspirin if advised,Stay calm,Do not delay treatment
Tuberculosis,Take medicines regularly,Avoid skipping doses,Maintain nutrition,Consult chest specialist
